symbol,as_of_date,price,sector,score,sales_cagr_5y,avg_roe_5y,pe_ratio,debt_equity,market_cap_cr,cfo_pat_ratio,source_updated_at,created_at,flag_inf_any_numeric,threshold_extreme_pe_sector_p995_pe_ratio,flag_extreme_pe_sector_p995,threshold_extreme_roe_sector_p995_avg_roe_5y,flag_extreme_roe_sector_p995,threshold_high_sales_cagr_sector_p995_sales_cagr_5y,flag_high_sales_cagr_sector_p995,as_of_age_days,flag_stale_as_of_date,issue_codes_hard_fail,issue_codes_warning,issue_codes_all,issue_count_hard_fail,issue_count_warning,issue_count_all,flag_has_hard_fail,flag_has_warning,flag_any_issue,row_action
BAJAJELEC.NS,2026-02-14,376.0,Consumer Cyclical,,,8.9,122.63,0.85,4361.42,0.0,2026-02-13 10:09:24.442248,2026-02-14 13:17:48,False,1051.3805000000034,False,157.5087000000005,False,285.18,False,24,True,,STALE_AS_OF_DATE,STALE_AS_OF_DATE,0,1,1,False,True,True,WATCH
ARVIND.NS,2026-02-14,385.1000061035156,Consumer Cyclical,,,9.75,23.16,0.39,9378.46,0.0,2026-02-13 10:09:24.442248,2026-02-14 13:17:48,False,1051.3805000000034,False,157.5087000000005,False,285.18,False,24,True,,STALE_AS_OF_DATE,STALE_AS_OF_DATE,0,1,1,False,True,True,WATCH
BALUFORGE.NS,2026-02-14,502.0,Industrials,,,18.69,23.15,0.0,5664.5,0.57,2026-02-13 10:09:24.442248,2026-02-14 13:17:48,False,1133.970849999963,False,624.8587999999795,False,93.79,False,24,True,,STALE_AS_OF_DATE,STALE_AS_OF_DATE,0,1,1,False,True,True,WATCH
BECTORFOOD.NS,2026-02-14,212.6300048828125,Consumer Defensive,43.2,24.07,15.55,46.16,0.15,6442.4,0.0,2026-02-13 10:09:24.442248,2026-02-14 13:17:48,False,134.99575,False,95.34,False,43.93,False,24,True,,STALE_AS_OF_DATE,STALE_AS_OF_DATE,0,1,1,False,True,True,WATCH
BELRISE.NS,2026-02-14,186.25999450683594,Consumer Cyclical,59.5,16.06,14.25,34.59,0.29,16528.62,0.0,2026-02-13 10:09:24.442248,2026-02-14 13:17:48,False,1051.3805000000034,False,157.5087000000005,False,285.18,False,24,True,,STALE_AS_OF_DATE,STALE_AS_OF_DATE,0,1,1,False,True,True,WATCH
BIRLACORPN.NS,2026-02-14,1052.5999755859375,Basic Materials,40.3,7.62,4.44,15.64,0.45,8122.87,0.0,2026-02-13 10:09:24.442248,2026-02-14 13:17:48,False,1725.8593000000008,False,59.53,False,18.36,False,24,True,,STALE_AS_OF_DATE,STALE_AS_OF_DATE,0,1,1,False,True,True,WATCH
BLACKBUCK.NS,2026-02-14,630.0,Technology,46.1,52.28,-48.5,29.99,3.63,11385.86,0.0,2026-02-13 10:09:24.442248,2026-02-14 13:17:48,False,2519.7525000000046,False,50312.7,False,139.45,False,24,True,,STALE_AS_OF_DATE,STALE_AS_OF_DATE,0,1,1,False,True,True,WATCH
BOSCH-HCIL.NS,2026-02-14,1403.5,Consumer Cyclical,,,-3.52,305.13,0.38,3797.17,0.0,2026-02-13 10:09:24.442248,2026-02-14 13:17:48,False,1051.3805000000034,False,157.5087000000005,False,285.18,False,24,True,,STALE_AS_OF_DATE,STALE_AS_OF_DATE,0,1,1,False,True,True,WATCH
CARTRADE.NS,2026-02-14,1928.0,Consumer Cyclical,37.1,27.04,0.44,51.36,5.25,9783.42,0.0,2026-02-13 10:09:24.442248,2026-02-14 13:17:48,False,1051.3805000000034,False,157.5087000000005,False,285.18,False,24,True,,STALE_AS_OF_DATE,STALE_AS_OF_DATE,0,1,1,False,True,True,WATCH
CCAVENUE.NS,2026-02-14,18.690000534057617,Technology,,,4.51,23.97,1.81,6364.72,2.2,2026-02-13 10:09:24.442248,2026-02-14 13:17:48,False,2519.7525000000046,False,50312.7,False,139.45,False,24,True,,STALE_AS_OF_DATE,STALE_AS_OF_DATE,0,1,1,False,True,True,WATCH
CEIGALL.NS,2026-02-14,291.0,Industrials,63.1,40.55,26.98,19.68,0.69,5123.67,0.0,2026-02-13 10:09:24.442248,2026-02-14 13:17:48,False,1133.970849999963,False,624.8587999999795,False,93.79,False,24,True,,STALE_AS_OF_DATE,STALE_AS_OF_DATE,0,1,1,False,True,True,WATCH
CELLO.NS,2026-02-14,507.70001220703125,Consumer Cyclical,,,89.07,33.59,0.22,11190.92,0.98,2026-02-13 10:09:24.442248,2026-02-14 13:17:48,False,1051.3805000000034,False,157.5087000000005,False,285.18,False,24,True,,STALE_AS_OF_DATE,STALE_AS_OF_DATE,0,1,1,False,True,True,WATCH
BBL.NS,2026-02-14,2519.5,Industrials,,,6.23,21.53,8.71,2823.34,0.0,2026-02-13 10:09:24.442248,2026-02-14 13:17:48,False,1133.970849999963,False,624.8587999999795,False,93.79,False,24,True,,STALE_AS_OF_DATE,STALE_AS_OF_DATE,0,1,1,False,True,True,WATCH
ANURAS.NS,2026-02-14,1336.4000244140625,Basic Materials,,,6.09,98.79,0.38,15398.85,4.81,2026-02-13 10:09:24.442248,2026-02-14 13:17:48,False,1725.8593000000008,False,59.53,False,18.36,False,24,True,,STALE_AS_OF_DATE,STALE_AS_OF_DATE,0,1,1,False,True,True,WATCH
ANUP.NS,2026-02-14,1980.0,Industrials,,,16.61,34.72,0.25,4009.58,0.0,2026-02-13 10:09:24.442248,2026-02-14 13:17:48,False,1133.970849999963,False,624.8587999999795,False,93.79,False,24,True,,STALE_AS_OF_DATE,STALE_AS_OF_DATE,0,1,1,False,True,True,WATCH
ALLCARGO.NS,2026-02-14,9.300000190734863,Industrials,33.7,-5.64,14.76,20.0,0.0,1409.26,0.0,2026-02-13 10:09:24.442248,2026-02-14 13:17:48,False,1133.970849999963,False,624.8587999999795,False,93.79,False,24,True,,STALE_AS_OF_DATE,STALE_AS_OF_DATE,0,1,1,False,True,True,WATCH
VTL.NS,2026-02-14,507.70001220703125,Consumer Cyclical,,,11.31,17.02,0.14,13815.42,0.0,2026-02-13 10:09:24.442248,2026-02-14 13:17:48,False,1051.3805000000034,False,157.5087000000005,False,285.18,False,24,True,,STALE_AS_OF_DATE,STALE_AS_OF_DATE,0,1,1,False,True,True,WATCH
WAAREEENER.NS,2026-02-14,3088.0,Technology,62.8,71.63,23.48,27.33,0.25,89254.97,0.0,2026-02-13 10:09:24.442248,2026-02-14 13:17:48,False,2519.7525000000046,False,50312.7,False,139.45,False,24,True,,STALE_AS_OF_DATE,STALE_AS_OF_DATE,0,1,1,False,True,True,WATCH
